"","Title"
"Q17A1","Advisory / Consultancy Services"
"Q17A2","Agriculture, Forestry, Fishing and Hunting"
"Q17A3","Arts, Entertainment, and Recreation"
"Q17A4","Audit"
"Q17A5","Cloud Services"
"Q17A6","Computer and Electronics Manufacturing"
"Q17A7","Education"
"Q17A8","Insurance"
"Q17A9","Government and Public Administration"
"Q17A10","Health Care and Social Assistance"
"Q17A11","Hotel and Food Services"
"Q17A12","IT Services"
"Q17A13","Legal Services"
"Q17A14","Marketing & Social Media"
"Q17A15","Media & Digital Media"
"Q17A16","Military"
"Q17A17","Software"
"Q17A18","Telecommunications"
"Q17A19","Transportation and Warehousing"
"Q17A20","Utilities (e.g. Energy, Transport, ...)"
"Q17A21","Not-for-Profit / NGO"
"Q17A22","Financial Services"
"Q17A23","International Organization"
"Q17A24","Other"
"Q17A25","I don't know"
